Date,Avg_Player,Final_Price,Base_Price,Discount_%,Is_Sale,Is_Weekend,Is_Holiday,Days_Since_Release
2023-01-04,88742.0,41.99,59.99,30.005000833472245,1,0,0,314
2023-01-05,88151.0,59.99,59.99,0.0,0,0,0,315
2023-01-06,93457.0,59.99,59.99,0.0,0,0,0,316
2023-01-07,104312.0,59.99,59.99,0.0,0,1,0,317
2023-01-08,106913.0,59.99,59.99,0.0,0,1,0,318
2023-01-09,81045.0,59.99,59.99,0.0,0,0,0,319
2023-01-10,79276.0,59.99,59.99,0.0,0,0,0,320
2023-01-11,77078.0,59.99,59.99,0.0,0,0,0,321
2023-01-12,73768.0,59.99,59.99,0.0,0,0,0,322
2023-01-13,78714.0,59.99,59.99,0.0,0,0,0,323
2023-01-14,95550.0,59.99,59.99,0.0,0,1,0,324
2023-01-15,97376.0,59.99,59.99,0.0,0,1,0,325
2023-01-16,76399.0,59.99,59.99,0.0,0,0,1,326
2023-01-17,70212.0,59.99,59.99,0.0,0,0,0,327
2023-01-18,68175.0,59.99,59.99,0.0,0,0,0,328
2023-01-19,67643.0,59.99,59.99,0.0,0,0,0,329
2023-01-20,69985.0,59.99,59.99,0.0,0,0,0,330
2023-01-21,84579.0,59.99,59.99,0.0,0,1,0,331
2023-01-22,87848.0,59.99,59.99,0.0,0,1,0,332
2023-01-23,65610.0,59.99,59.99,0.0,0,0,0,333
2023-01-24,64303.0,59.99,59.99,0.0,0,0,0,334
2023-01-25,64506.0,59.99,59.99,0.0,0,0,0,335
2023-01-26,63756.0,59.99,59.99,0.0,0,0,0,336
2023-01-27,67368.0,59.99,59.99,0.0,0,0,0,337
2023-01-28,83035.0,59.99,59.99,0.0,0,1,0,338
2023-01-29,85483.0,59.99,59.99,0.0,0,1,0,339
2023-01-30,62487.0,59.99,59.99,0.0,0,0,0,340
2023-01-31,62378.0,59.99,59.99,0.0,0,0,0,341
2023-02-01,61693.0,59.99,59.99,0.0,0,0,0,342
2023-02-02,60643.0,59.99,59.99,0.0,0,0,0,343
2023-02-03,66203.0,59.99,59.99,0.0,0,0,0,344
2023-02-04,80705.0,59.99,59.99,0.0,0,1,0,345
2023-02-05,82173.0,59.99,59.99,0.0,0,1,0,346
2023-02-06,60131.0,59.99,59.99,0.0,0,0,0,347
2023-02-07,57738.0,59.99,59.99,0.0,0,0,0,348
2023-02-08,56027.0,59.99,59.99,0.0,0,0,0,349
2023-02-09,55346.0,59.99,59.99,0.0,0,0,0,350
2023-02-10,59413.0,59.99,59.99,0.0,0,0,0,351
2023-02-11,72846.0,59.99,59.99,0.0,0,1,0,352
2023-02-12,74140.0,59.99,59.99,0.0,0,1,0,353
2023-02-13,56082.0,59.99,59.99,0.0,0,0,0,354
2023-02-14,53496.0,59.99,59.99,0.0,0,0,0,355
2023-02-15,53869.0,59.99,59.99,0.0,0,0,0,356
2023-02-16,53763.0,59.99,59.99,0.0,0,0,0,357
2023-02-17,58848.0,59.99,59.99,0.0,0,0,0,358
2023-02-18,71668.0,59.99,59.99,0.0,0,1,0,359
2023-02-19,71708.0,59.99,59.99,0.0,0,1,0,360
2023-02-20,57887.0,59.99,59.99,0.0,0,0,1,361
2023-02-21,53740.0,59.99,59.99,0.0,0,0,0,362
2023-02-22,53730.0,59.99,59.99,0.0,0,0,0,363
2023-02-23,54134.0,59.99,59.99,0.0,0,0,0,364
2023-02-24,55361.0,59.99,59.99,0.0,0,0,0,365
2023-02-25,67121.0,59.99,59.99,0.0,0,1,0,366
2023-02-26,67335.0,59.99,59.99,0.0,0,1,0,367
2023-02-27,50421.0,59.99,59.99,0.0,0,0,0,368
2023-02-28,55189.0,59.99,59.99,0.0,0,0,0,369
2023-03-01,55050.0,59.99,59.99,0.0,0,0,0,370
2023-03-02,55532.0,59.99,59.99,0.0,0,0,0,371
2023-03-03,60124.0,59.99,59.99,0.0,0,0,0,372
2023-03-04,74131.0,59.99,59.99,0.0,0,1,0,373
2023-03-05,74740.0,59.99,59.99,0.0,0,1,0,374
2023-03-06,53807.0,59.99,59.99,0.0,0,0,0,375
2023-03-07,54145.0,59.99,59.99,0.0,0,0,0,376
2023-03-08,53279.0,59.99,59.99,0.0,0,0,0,377
2023-03-09,51995.0,59.99,59.99,0.0,0,0,0,378
2023-03-10,57180.0,59.99,59.99,0.0,0,0,0,379
2023-03-11,70523.0,59.99,59.99,0.0,0,1,0,380
2023-03-12,71543.0,59.99,59.99,0.0,0,1,0,381
2023-03-13,52172.0,59.99,59.99,0.0,0,0,0,382
2023-03-14,51828.0,59.99,59.99,0.0,0,0,0,383
2023-03-15,51380.0,59.99,59.99,0.0,0,0,0,384
2023-03-16,49925.0,59.99,59.99,0.0,0,0,0,385
2023-03-17,53979.0,59.99,59.99,0.0,0,0,0,386
2023-03-18,65288.0,59.99,59.99,0.0,0,1,0,387
2023-03-19,65715.0,59.99,59.99,0.0,0,1,0,388
2023-03-20,48532.0,59.99,59.99,0.0,0,0,0,389
2023-03-21,47647.0,59.99,59.99,0.0,0,0,0,390
2023-03-22,46180.0,59.99,59.99,0.0,0,0,0,391
2023-03-23,41925.0,59.99,59.99,0.0,0,0,0,392
2023-03-24,49453.0,59.99,59.99,0.0,0,0,0,393
2023-03-25,59695.0,59.99,59.99,0.0,0,1,0,394
2023-03-26,61855.0,59.99,59.99,0.0,0,1,0,395
2023-03-27,46494.0,59.99,59.99,0.0,0,0,0,396
2023-03-28,45767.0,59.99,59.99,0.0,0,0,0,397
2023-03-29,44975.0,59.99,59.99,0.0,0,0,0,398
2023-03-30,44684.0,59.99,59.99,0.0,0,0,0,399
2023-03-31,48691.0,59.99,59.99,0.0,0,0,0,400
2023-04-01,58457.0,59.99,59.99,0.0,0,1,0,401
2023-04-02,59445.0,59.99,59.99,0.0,0,1,0,402
2023-04-03,45291.0,59.99,59.99,0.0,0,0,0,403
2023-04-04,47166.0,59.99,59.99,0.0,0,0,0,404
2023-04-05,45090.0,59.99,59.99,0.0,0,0,0,405
2023-04-06,45717.0,59.99,59.99,0.0,0,0,0,406
2023-04-07,52364.0,59.99,59.99,0.0,0,0,0,407
2023-04-08,55428.0,59.99,59.99,0.0,0,1,0,408
2023-04-09,52760.0,59.99,59.99,0.0,0,1,0,409
2023-04-10,50213.0,59.99,59.99,0.0,0,0,0,410
2023-04-11,42467.0,59.99,59.99,0.0,0,0,0,411
2023-04-12,41017.0,59.99,59.99,0.0,0,0,0,412
